OK,9,fmt/56,"Microsoft Excel 3.0 Worksheet (xls)","BIFF 3 Worksheet",1700,"systems-showcase-files/EXCEL3m.xls","None","signature"
OK,17,fmt/15,"Acrobat PDF 1.1 - Portable Document Format","PDF 1.1",224318,"systems-showcase-files/pdf11_created1996.pdf","None","signature"
OK,10,fmt/58,"Microsoft Excel 4.0 Workbook (xls)","BIFF 4 Workbook/Workspace",35813,"systems-showcase-files/DIVISION.XLW","None","signature"
OK,9,fmt/166,"Microsoft Works Spreadsheet","Microsoft Works Spreadsheet 1-5",2610,"systems-showcase-files/BALLET.WKS","None","signature"
OK,8,x-fmt/92,"Adobe Photoshop","External",5669,"systems-showcase-files/PS30.PSD","None","extension"
OK,7,x-fmt/161,"MacPaint Image","External",2183,"systems-showcase-files/GRN.MAC","None","extension"
OK,15,fmt/15,"Acrobat PDF 1.1 - Portable Document Format","PDF 1.1",290205,"systems-showcase-files/LEAR.PDF","None","signature"
OK,10,x-fmt/92,"Adobe Photoshop","Adobe Photoshop (psd)",44554,"systems-showcase-files/wire_006134058 - Default Texture.psd","None","signature"
OK,106,x-fmt/367,"Truevision TGA Bitmap","Truevision TGA Bitmap 1 (BOF 2)",724215,"systems-showcase-files/DRUIDS.TGA","None","signature"
OK,7,fmt/300,"ChiWriter Document","Chiwriter Document V4",955,"systems-showcase-files/CW4_TEST.CHI","None","signature"
OK,8,fmt/401,"X-Windows Screen Dump","X-Windows Screen Dump X11",26765,"systems-showcase-files/SMALL.XWD","None","signature"
OK,17,fmt/101,"Extensible Markup Language","XML 1.0",284554,"systems-showcase-files/duck.dae","None","signature"
OK,13,fmt/649,"MPEG-1 Elementary Stream","MPEG-1 Elementary Stream",439885,"systems-showcase-files/ROUND1.MPG","None","signature"
KO,9,,,,23295,"systems-showcase-files/KLAUS.ZBR",,"fail"
OK,6,fmt/506,"Adobe Flash","SWF 9",92,"systems-showcase-files/flash9 - ILLCS6.swf","None","signature"
OK,13,fmt/116,"Windows Bitmap","Windows Bitmap 3.0",1440054,"systems-showcase-files/RAY.BMP","None","signature"
OK,12,fmt/122,"Encapsulated PostScript File Format","EPS 1.2",90754,"systems-showcase-files/VENUS.EPS","None","signature"
OK,10,x-fmt/92,"Adobe Photoshop","External",24300,"systems-showcase-files/ps2version.psd","None","extension"
OK,12,x-fmt/92,"Adobe Photoshop","External",30000,"systems-showcase-files/ps2e.psd","None","extension"
OK,14,fmt/406,"Portable Grey Map - Binary","Portable Grey Map - Binary without comment",1572882,"systems-showcase-files/Portable Bitmap, greyscale 16b - PSCS4.pbm","None","signature"
OK,31,fmt/61,"Microsoft Excel 97 Workbook (xls)","Microsoft Excel 97 Workbook (xls)",118784,"systems-showcase-files/80.XLS","None","container"
OK,13,fmt/116,"Windows Bitmap","Windows Bitmap 3.0",86454,"systems-showcase-files/YEL.BMP","None","signature"
OK,7,x-fmt/10,"dBASE Database","dBASE Database IV, with memo (8B byte)",275,"systems-showcase-files/PICTURES.DBF","None","signature"
OK,10,fmt/353,"Tagged Image File Format","TIFF generic (little-endian)",18382,"systems-showcase-files/CCITT_1.TIF","None","signature"
OK,6,fmt/319,"ESRI Spatial Index File","ESRI Spatial Index File",148,"systems-showcase-files/ne_110m_admin_1_states_provinces_shp.sbx","None","signature"
OK,8,x-fmt/44,"WordPerfect for MS-DOS/Windows Document","WordPerfect for Windows 6.x - 12",4101,"systems-showcase-files/All Font Sizes.wpd","None","signature"
OK,9,fmt/116,"Windows Bitmap","Windows Bitmap 3.0",38518,"systems-showcase-files/JAZZ.BMP","None","signature"
KO,6,,,,2383,"systems-showcase-files/NAVYDIF1",,"fail"
OK,9,x-fmt/4,"Write for Windows Document","External",28049,"systems-showcase-files/PSREADME(PhotoShop3).WRI","None","extension"
OK,9,x-fmt/12,"Write for Windows Document","External",28049,"systems-showcase-files/PSREADME(PhotoShop3).WRI","None","extension"
OK,9,fmt/506,"Adobe Flash","SWF 9 - zlib compressed",36516,"systems-showcase-files/zoomifyViewer.swf","None","signature"
OK,17,x-fmt/408,"PostScript","PostScript DSC 3.0",133242331,"systems-showcase-files/AI8.ai","None","signature"
OK,12,fmt/353,"Tagged Image File Format","TIFF generic (little-endian)",28986,"systems-showcase-files/CCITT_3.TIF","None","signature"
OK,8,fmt/116,"Windows Bitmap","Windows Bitmap 3.0",1082,"systems-showcase-files/pal1p1.bmp","None","signature"
OK,15,x-fmt/162,"Adobe FrameMaker Interchange Format","Framemaker Interchange Format Document",195628,"systems-showcase-files/MSBUG2.MIF","None","signature"
OK,9,x-fmt/395,"WordPerfect Graphics Metafile","External",398,"systems-showcase-files/Gradient.wpg","None","extension"
OK,16,fmt/11,"Portable Network Graphics","PNG 1.0",2351982,"systems-showcase-files/21.png","None","signature"
KO,9,,,,9686,"systems-showcase-files/CAFE_CUP.ZBR",,"fail"
OK,8,x-fmt/285,"IBM DisplayWrite Revisable Form Text File","External",1690,"systems-showcase-files/SOFT1.RFT","None","extension"
OK,8,x-fmt/444,"Revit Family Template","External",1690,"systems-showcase-files/SOFT1.RFT","None","extension"
OK,9,fmt/547,"Macromedia FreeHand","FreeHand 10",23496,"systems-showcase-files/Freehand 10 -ILLCS4.fh10","None","signature"
OK,12,fmt/43,"JPEG File Interchange Format","JFIF 1.01",91635,"systems-showcase-files/3D_B.JPG","None","signature"
OK,8,fmt/115,"Windows Bitmap","Windows Bitmap 2.0",23072,"systems-showcase-files/PS3 Bitmap mode  bmp os2.bmp","None","signature"
OK,13,fmt/43,"JPEG File Interchange Format","JFIF 1.01",126492,"systems-showcase-files/MG15S067.JPG","None","signature"
OK,14,x-fmt/140,"Silicon Graphics Image","Silicon Graphics Image",1841068,"systems-showcase-files/SGIPSCS4.sgi","None","signature"
OK,19,fmt/20,"Acrobat PDF 1.6 - Portable Document Format","PDF 1.6",5513841,"systems-showcase-files/PSCS4editable16.pdf","None","signature"
OK,9,fmt/56,"Microsoft Excel 3.0 Worksheet (xls)","BIFF 3 Worksheet",9548,"systems-showcase-files/BREAKEVN.XLS","None","signature"
OK,8,fmt/556,"Microsoft Excel Macro","BIFF 3 Macro",9187,"systems-showcase-files/COMPARE.XLA","None","signature"
OK,17,fmt/124,"Encapsulated PostScript File Format","EPS 3.0 Preview",525395,"systems-showcase-files/ps4ASCIIpriview.EPS","None","signature"
OK,9,x-fmt/92,"Adobe Photoshop","External",5669,"systems-showcase-files/PS20.PSD","None","extension"
OK,20,fmt/290,"OpenDocument Text","ODF 1.1 text (without version number)",172237,"systems-showcase-files/72.odt","None","signature"
OK,8,x-fmt/20,"Adobe Illustrator","Adobe Illustrator 1.x v2",441,"systems-showcase-files/PS3 RGB mode ai path.ai","None","signature"
