filename,filesize,modified,errors,namespace,id,format,version,mime,basis,warning
systems-showcase-files/Get More Web Queries.iqy,235,2015-01-21T00:53:16+11:00,,pronom,x-fmt/58,Microsoft Excel Web Query,,,extension match iqy,match on extension only
systems-showcase-files/Gradient.wpg,398,2015-01-21T00:52:32+11:00,,pronom,UNKNOWN,,,,,no match; possibilities based on extension are x-fmt/395
systems-showcase-files/H.EXE,4114,2015-01-21T00:51:50+11:00,,pronom,x-fmt/409,MS-DOS Executable,,,"extension match exe; byte match at 0, 2",
systems-showcase-files/H264[1].mp4,6208169,2015-01-21T00:51:48+11:00,,pronom,fmt/199,MPEG-4 Media File,,application/mp4,extension match mp4; byte match at [[[4 8]] [[28 4]]],
systems-showcase-files/H264[1]_1.mp4,987184,2015-01-21T00:51:44+11:00,,pronom,fmt/199,MPEG-4 Media File,,application/mp4,extension match mp4; byte match at [[[4 20]] [[32 4]]],
systems-showcase-files/HADES.TGA,585344,2015-01-21T00:51:42+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/HANGING.DOC,22016,2015-01-21T00:51:40+11:00,,pronom,fmt/40,Microsoft Word Document,97-2003,application/msword,"extension match doc; container name CompObj with byte match at 70, 20; name WordDocument with name only",
systems-showcase-files/HAVEL.ZBR,22506,2015-01-21T00:51:40+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/HAZY.TGA,508071,2015-01-21T00:51:38+11:00,,pronom,x-fmt/367,Truevision TGA Bitmap,1.0,,"extension match tga; byte match at 1, 16 (signature 2/2)",
systems-showcase-files/HDR.hdr,23602520,2015-01-21T00:51:36+11:00,,pronom,fmt/591,Radiance RGBE Image Format,,image/vnd.radiance,"extension match hdr; byte match at 0, 11",
systems-showcase-files/HEAD.XV,234496,2015-01-21T00:51:22+11:00,,pronom,UNKNOWN,,,,,no match
systems-showcase-files/HELV.CHI,14512,2015-01-21T00:51:16+11:00,,pronom,fmt/300,ChiWriter Document,4,,"extension match chi; byte match at 0, 13",
systems-showcase-files/HOME.XLS,25088,2015-01-21T00:51:16+11:00,,pronom,fmt/59,Microsoft Excel 5.0/95 Workbook (xls),5/95,application/vnd.ms-excel,"extension match xls; container name Book with byte match at 0, 8",
systems-showcase-files/HTML-for-web-ILLCS4.html,404,2015-01-21T00:51:14+11:00,,pronom,fmt/96,Hypertext Markup Language,,text/html,extension match html; byte match at [[[0 5]] [[397 7]]] (signature 1/2),
systems-showcase-files/HTML.XLA,40448,2015-01-21T00:51:12+11:00,,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,"container name Workbook with byte match at 0, 8 (signature 1/2)",extension mismatch
