"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"18","2","file:/home/richard/local/bench/ipres/systems-showcase-files/JPEG%20-%20PSCS4.jpg","/home/richard/local/bench/ipres/systems-showcase-files/JPEG - PSCS4.jpg","JPEG - PSCS4.jpg","Signature","Done","309538","File","jpg","2015-01-21T03:17:48","false",,"1","fmt/44","image/jpeg","JPEG File Interchange Format","1.02"
"19","2","file:/home/richard/local/bench/ipres/systems-showcase-files/ALLPRIMS.SUM","/home/richard/local/bench/ipres/systems-showcase-files/ALLPRIMS.SUM","ALLPRIMS.SUM",,"Done","5420","File","sum","2015-01-21T01:24:14","false",,"0",,"","",""
"20","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PICT%2032b%20-%20PSCS4.pct","/home/richard/local/bench/ipres/systems-showcase-files/PICT 32b - PSCS4.pct","PICT 32b - PSCS4.pct","Signature","Done","1736106","File","pct","2015-01-21T02:57:34","false",,"1","fmt/341","image/x-pict","Macintosh PICT Image","2.0"
"21","2","file:/home/richard/local/bench/ipres/systems-showcase-files/GAMMA070.PNG","/home/richard/local/bench/ipres/systems-showcase-files/GAMMA070.PNG","GAMMA070.PNG","Signature","Done","68982","File","png","2015-01-21T00:53:26","false",,"1","fmt/11","image/png","Portable Network Graphics","1.0"
"22","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PSCS2DCS1ASCIIpreview.K","/home/richard/local/bench/ipres/systems-showcase-files/PSCS2DCS1ASCIIpreview.K","PSCS2DCS1ASCIIpreview.K","Signature","Done","762197","File","k","2015-01-21T02:51:36","true",,"1","fmt/124","application/postscript","Encapsulated PostScript File Format","3"
"23","2","file:/home/richard/local/bench/ipres/systems-showcase-files/WSURFING.ZBR","/home/richard/local/bench/ipres/systems-showcase-files/WSURFING.ZBR","WSURFING.ZBR",,"Done","16295","File","zbr","2015-01-21T02:24:26","false",,"0",,"","",""
"24","2","file:/home/richard/local/bench/ipres/systems-showcase-files/2-1-3.jpg","/home/richard/local/bench/ipres/systems-showcase-files/2-1-3.jpg","2-1-3.jpg","Signature","Done","498","File","jpg","2015-01-21T02:17:14","false",,"1","fmt/41","image/jpeg","Raw JPEG Stream",""
"25","2","file:/home/richard/local/bench/ipres/systems-showcase-files/LETTER.WPS","/home/richard/local/bench/ipres/systems-showcase-files/LETTER.WPS","LETTER.WPS","Signature","Done","2345","File","wps","2015-01-21T03:16:48","false",,"1","fmt/163","","Microsoft Works Word Processor 1-3 for DOS and 2 for Windows",""
"26","2","file:/home/richard/local/bench/ipres/systems-showcase-files/MARS1.JPG","/home/richard/local/bench/ipres/systems-showcase-files/MARS1.JPG","MARS1.JPG","Signature","Done","70220","File","jpg","2015-01-21T03:13:58","false",,"1","fmt/43","image/jpeg","JPEG File Interchange Format","1.01"
"27","2","file:/home/richard/local/bench/ipres/systems-showcase-files/C1640212.IMG","/home/richard/local/bench/ipres/systems-showcase-files/C1640212.IMG","C1640212.IMG",,"Done","672980","File","img","2015-01-21T01:11:10","false",,"0",,"","",""
"28","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PS3%20RGB%20mode%20scitex%20ct.sct","/home/richard/local/bench/ipres/systems-showcase-files/PS3 RGB mode scitex ct.sct","PS3 RGB mode scitex ct.sct","Signature","Done","546368","File","sct","2015-01-21T02:54:44","true",,"1","x-fmt/146","","Scitex Continuous Tone Bitmap",""
"29","2","file:/home/richard/local/bench/ipres/systems-showcase-files/XING_B24.TGA","/home/richard/local/bench/ipres/systems-showcase-files/XING_B24.TGA","XING_B24.TGA","Signature","Done","118098","File","tga","2015-01-21T02:23:56","false",,"1","x-fmt/367","","Truevision TGA Bitmap","1.0"
"30","2","file:/home/richard/local/bench/ipres/systems-showcase-files/Pixar%20-%20PSCS6.pxr","/home/richard/local/bench/ipres/systems-showcase-files/Pixar - PSCS6.pxr","Pixar - PSCS6.pxr",,"Done","1921024","File","pxr","2015-01-21T02:57:12","false",,"0",,"","",""
"31","2","file:/home/richard/local/bench/ipres/systems-showcase-files/EXCEL3m.xls","/home/richard/local/bench/ipres/systems-showcase-files/EXCEL3m.xls","EXCEL3m.xls","Signature","Done","1700","File","xls","2015-01-21T00:59:14","false",,"1","fmt/56","application/vnd.ms-excel","Microsoft Excel 3.0 Worksheet (xls)","3"
"32","2","file:/home/richard/local/bench/ipres/systems-showcase-files/INTRO.XLM","/home/richard/local/bench/ipres/systems-showcase-files/INTRO.XLM","INTRO.XLM","Signature","Done","4453","File","xlm","2015-01-21T03:18:38","false",,"1","fmt/556","application/vnd.ms-excel","Microsoft Excel Macro","3.0"
"33","2","file:/home/richard/local/bench/ipres/systems-showcase-files/EMP.DBF","/home/richard/local/bench/ipres/systems-showcase-files/EMP.DBF","EMP.DBF","Signature","Done","1031","File","dbf","2015-01-21T00:59:58","false",,"1","x-fmt/271","","dBASE Database","III+"
"34","2","file:/home/richard/local/bench/ipres/systems-showcase-files/FXG2PSCS4.fxg","/home/richard/local/bench/ipres/systems-showcase-files/FXG2PSCS4.fxg","FXG2PSCS4.fxg","Signature","Done","323","File","fxg","2015-01-21T00:54:42","true",,"1","fmt/101","application/xml, text/xml","Extensible Markup Language","1.0"
"35","2","file:/home/richard/local/bench/ipres/systems-showcase-files/pdf11_created1996.pdf","/home/richard/local/bench/ipres/systems-showcase-files/pdf11_created1996.pdf","pdf11_created1996.pdf","Signature","Done","224318","File","pdf","2015-01-21T02:58:36","false",,"1","fmt/15","application/pdf","Acrobat PDF 1.1 - Portable Document Format","1.1"
"36","2","file:/home/richard/local/bench/ipres/systems-showcase-files/PS30.PSD","/home/richard/local/bench/ipres/systems-showcase-files/PS30.PSD","PS30.PSD",,"Done","5669","File","psd","2015-01-21T02:54:34","false",,"0",,"","",""
"37","2","file:/home/richard/local/bench/ipres/systems-showcase-files/BALLET.WKS","/home/richard/local/bench/ipres/systems-showcase-files/BALLET.WKS","BALLET.WKS","Signature","Done","2610","File","wks","2015-01-21T01:20:10","false",,"1","fmt/166","","Microsoft Works Spreadsheet","1-5"
"38","2","file:/home/richard/local/bench/ipres/systems-showcase-files/DIVISION.XLW","/home/richard/local/bench/ipres/systems-showcase-files/DIVISION.XLW","DIVISION.XLW","Signature","Done","35813","File","xlw","2015-01-21T01:03:52","false",,"1","fmt/58","application/vnd.ms-excel","Microsoft Excel 4.0 Workbook (xls)","4W"
