DROID 6.3-RC1 No Profile mode: Runtime Information
Selected folder or file: systems-showcase-files
Binary signature file: /home/richard/.droid6/signature_files/DROID_SignatureFile_V88.xml
Container signature file: /home/richard/.droid6/container_sigs/container-signature-20160927.xml
Recurse folders: True
Extension filter: No filter set
Open archives: False
Open web archives: False
/home/richard/local/bench/ipres/systems-showcase-files/pal1p1.bmp,fmt/116
/home/richard/local/bench/ipres/systems-showcase-files/MSBUG2.MIF,x-fmt/162
/home/richard/local/bench/ipres/systems-showcase-files/Gradient.wpg,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/21.png,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/CAFE_CUP.ZBR,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/SOFT1.RFT,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/Freehand 10 -ILLCS4.fh10,fmt/547
/home/richard/local/bench/ipres/systems-showcase-files/3D_B.JPG,fmt/43
/home/richard/local/bench/ipres/systems-showcase-files/PS3 Bitmap mode  bmp os2.bmp,fmt/115
/home/richard/local/bench/ipres/systems-showcase-files/MG15S067.JPG,fmt/43
/home/richard/local/bench/ipres/systems-showcase-files/SGIPSCS4.sgi,x-fmt/140
/home/richard/local/bench/ipres/systems-showcase-files/PSCS4editable16.pdf,fmt/20
/home/richard/local/bench/ipres/systems-showcase-files/BREAKEVN.XLS,fmt/56
/home/richard/local/bench/ipres/systems-showcase-files/COMPARE.XLA,fmt/556
/home/richard/local/bench/ipres/systems-showcase-files/ps4ASCIIpriview.EPS,fmt/124
/home/richard/local/bench/ipres/systems-showcase-files/PS20.PSD,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/72.odt,fmt/136
/home/richard/local/bench/ipres/systems-showcase-files/PS3 RGB mode ai path.ai,x-fmt/20
/home/richard/local/bench/ipres/systems-showcase-files/ps25m_BMP_OS2_16b.BMP,fmt/115
/home/richard/local/bench/ipres/systems-showcase-files/30 Seconds to Mars _ Up In the Air.sib,fmt/696
/home/richard/local/bench/ipres/systems-showcase-files/EXPORTS.XLW,fmt/58
/home/richard/local/bench/ipres/systems-showcase-files/VENUS.MSP,fmt/912
/home/richard/local/bench/ipres/systems-showcase-files/SOLVSAMP.XLS,fmt/61
/home/richard/local/bench/ipres/systems-showcase-files/Multiple Stock Quotes by PC Quote, Inc.iqy,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/VENUS.IFF,fmt/338
/home/richard/local/bench/ipres/systems-showcase-files/85x11.PDD,x-fmt/92
/home/richard/local/bench/ipres/systems-showcase-files/FROMWPG.CDR,fmt/466
/home/richard/local/bench/ipres/systems-showcase-files/XLBASICS.CBT,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/BIRD.WMF,x-fmt/119
/home/richard/local/bench/ipres/systems-showcase-files/S33N3P04.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_admin_0_countries.shx,fmt/277
/home/richard/local/bench/ipres/systems-showcase-files/SERIFE.FON,x-fmt/410
/home/richard/local/bench/ipres/systems-showcase-files/TBBN3P08.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/FLAG_T24.TGA,x-fmt/367
/home/richard/local/bench/ipres/systems-showcase-files/TBWN1G16.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/AutoCAD draw R13 jpeg - ILLCS4_1.jpg,fmt/44
/home/richard/local/bench/ipres/systems-showcase-files/GMARBLES.GIF,fmt/3
/home/richard/local/bench/ipres/systems-showcase-files/PAPERTIT.CLX,x-fmt/64
/home/richard/local/bench/ipres/systems-showcase-files/BMP W 24b - PSCS4.bmp,fmt/116
/home/richard/local/bench/ipres/systems-showcase-files/psCS2.psd,x-fmt/92
/home/richard/local/bench/ipres/systems-showcase-files/PSCS6DCS1BINARYpreview.C,fmt/124
/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_lakes.VERSION.txt,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/G4S.TIF,fmt/353
/home/richard/local/bench/ipres/systems-showcase-files/23.bmp,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/S32N3P04.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_admin_0_pacific_groupings.shp,x-fmt/235
/home/richard/local/bench/ipres/systems-showcase-files/FReeHand7 2.FH7,fmt/544
/home/richard/local/bench/ipres/systems-showcase-files/SPRINT.SPT,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/SWMACRO.XLW,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/20140904211519868.warc,fmt/289
/home/richard/local/bench/ipres/systems-showcase-files/ORDERS.WKS,x-fmt/117
/home/richard/local/bench/ipres/systems-showcase-files/PILLAR2.TGA,x-fmt/367
/home/richard/local/bench/ipres/systems-showcase-files/CHARS.WKS,fmt/166
/home/richard/local/bench/ipres/systems-showcase-files/APERTURE.XLS,fmt/56
/home/richard/local/bench/ipres/systems-showcase-files/AutoCAD IntF R13 PNG - ILLCS4.dxf,fmt/76
/home/richard/local/bench/ipres/systems-showcase-files/35FLOPPY.XPM,x-fmt/208
/home/richard/local/bench/ipres/systems-showcase-files/SAMPLE.CMU,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/PS2-a.PSD,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/RANDOM.XLM,fmt/556
/home/richard/local/bench/ipres/systems-showcase-files/W1_WP41_2.wpm,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/CCITT_2.TIF,fmt/353
/home/richard/local/bench/ipres/systems-showcase-files/TextBoxes1.hwp,fmt/111
/home/richard/local/bench/ipres/systems-showcase-files/CM7N0G04.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/CCITT_6.TIF,fmt/353
/home/richard/local/bench/ipres/systems-showcase-files/ps4PDF.PDF,fmt/15
/home/richard/local/bench/ipres/systems-showcase-files/Illustrator EPS - ILLCS6.eps,fmt/124
/home/richard/local/bench/ipres/systems-showcase-files/TECHDRAW.CGM,fmt/303
/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_admin_0_boundary_lines_land.prj,fmt/320
/home/richard/local/bench/ipres/systems-showcase-files/REFIMAGE.PCD,fmt/211
/home/richard/local/bench/ipres/systems-showcase-files/XING.JPG,fmt/43
/home/richard/local/bench/ipres/systems-showcase-files/SPIKES.TGA,x-fmt/367
/home/richard/local/bench/ipres/systems-showcase-files/rgb16.png,fmt/12
/home/richard/local/bench/ipres/systems-showcase-files/1-0-0.jpg,fmt/41
/home/richard/local/bench/ipres/systems-showcase-files/Flash6 - ILLCS4.swf,fmt/109
/home/richard/local/bench/ipres/systems-showcase-files/T04EQN.CHI,fmt/300
/home/richard/local/bench/ipres/systems-showcase-files/28510-0002.avi,fmt/5
/home/richard/local/bench/ipres/systems-showcase-files/S08I3P02.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/F00N0G08.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/EXOTIC.WK1,x-fmt/114
/home/richard/local/bench/ipres/systems-showcase-files/pal2.png,fmt/12
/home/richard/local/bench/ipres/systems-showcase-files/pal8nonsquare-e.png,fmt/12
/home/richard/local/bench/ipres/systems-showcase-files/DOME1.DXF,fmt/76
/home/richard/local/bench/ipres/systems-showcase-files/40.png,fmt/12
/home/richard/local/bench/ipres/systems-showcase-files/CTC16.TGA,fmt/402
/home/richard/local/bench/ipres/systems-showcase-files/AutoCAD draw 2000 PNG - ILLCS4_1.png,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/PSCS6DCS2ASCIIpreview.C,fmt/124
/home/richard/local/bench/ipres/systems-showcase-files/EYE.CDR,fmt/466
/home/richard/local/bench/ipres/systems-showcase-files/S07I3P02.PNG,fmt/11
/home/richard/local/bench/ipres/systems-showcase-files/YEL.MAC,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/26.jpg,fmt/43
/home/richard/local/bench/ipres/systems-showcase-files/OUTLINE.DOC,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/CHUSIN.XLW,Unknown
/home/richard/local/bench/ipres/systems-showcase-files/GRADES.XLS,fmt/56
/home/richard/local/bench/ipres/systems-showcase-files/ne_110m_populated_places.dbf,x-fmt/9
/home/richard/local/bench/ipres/systems-showcase-files/MTRCYCLE.TGA,x-fmt/367
/home/richard/local/bench/ipres/systems-showcase-files/FLAG_T24.TIF,fmt/353
/home/richard/local/bench/ipres/systems-showcase-files/Portable Bitmap, greyscale 8b - PSCS4.pbm,fmt/406
/home/richard/local/bench/ipres/systems-showcase-files/68_embedded.doc,fmt/40
